OECD Factbook 2015-2016 - ISBN 9789264251113 - © OECD 2016;;;;;;;;
 ;Permanent inflows by category of entry;;;;;;;
 ;Thousands, 2013;;;;;;;
 ; ;Work;Free movements;"Accompanying
family of workers";Family;Humanitarian;Other;Total
 ;Australia;61,3;40,3;67,7;60,2;20,0;4,0;253,5
 ;Austria;1,3;50,5;0,3;10,2;2,5;0,3;65,0
 ;Belgium;7,8;27,3; -;22,3;3,0; ..;60,3
 ;Canada;64,7; ..;83,3;79,6;31,0;0,0;258,6
 ;Chile; ..; ..; ..; ..; ..; ..; ..
 ;Czech Republic; ..; ..; ..; ..; ..; ..; ..
 ;Denmark;7,9;27,7;3,5;5,2;3,9;4,2;52,4
 ;Estonia; ..; ..; ..; ..; ..; ..; ..
 ;Finland;1,2;10,2; -;8,9;3,1;0,5;23,9
 ;France;26,8;95,9; -;104,6;11,7;20,9;259,8
 ;Germany;24,3;354,8; -;56,0;30,7;2,4;468,8
 ;Greece; ..; ..; ..; ..; ..; ..; ..
 ;Hungary; ..; ..; ..; ..; ..; ..; ..
 ;Iceland; ..; ..; ..; ..; ..; ..; ..
 ;Ireland;2,7;23,1;0,3;13,9;0,2; ..;40,2
 ;Israel; ..; ..; ..; ..; ..; ..; ..
 ;Italy;73,1;77,9;2,5;78,6;8,8;4,9;245,8
 ;Japan;25,1; ..; -;20,6;0,2;11,5;57,3
 ;Korea;1,6; ..;5,1;31,4;0,0;28,6;66,7
 ;Luxembourg; ..; ..; ..; ..; ..; ..; ..
 ;Mexico;16,6; ..; -;19,2;0,2;18,4;54,4
 ;Netherlands;9,2;65,2; -;21,1;10,0; ..;105,5
 ;New Zealand;10,1;3,7;10,3;16,9;3,4; ..;44,4
 ;Norway;3,8;37,8; -;11,9;6,7; ..;60,3
 ;Poland; ..; ..; ..; ..; ..; ..; ..
 ;Portugal;6,4;10,6;3,2;9,6;0,1;3,2;27,0
 ;Slovak Republic; ..; ..; ..; ..; ..; ..; ..
 ;Slovenia; ..; ..; ..; ..; ..; ..; ..
 ;Spain;39,8;105,1; -;41,2;0,5;8,8;195,3
 ;Sweden;3,9;22,0;2,4;29,5;28,9; ..;86,7
 ;Switzerland;2,2;105,8; -;21,3;5,1;2,0;136,2
 ;Turkey; ..; ..; ..; ..; ..; ..; ..
 ;United Kingdom;86,4;98,3;37,6;27,1;20,7;20,7;291,0
 ;United States;75,9; ..;85,2;649,8;119,6;59,4;989,9
 ;EU 28; ..; ..; ..; ..; ..; ..; ..
 ;OECD; ..; ..; ..; ..; ..; ..; ..
 ;Brazil; ..; ..; ..; ..; ..; ..; ..
 ;China; ..; ..; ..; ..; ..; ..; ..
 ;India; ..; ..; ..; ..; ..; ..; ..
 ;Indonesia; ..; ..; ..; ..; ..; ..; ..
 ;Russian Federation; ..; ..; ..; ..; ..; ..; ..
 ;South Africa; ..; ..; ..; ..; ..; ..; ..
..;Not available;;;;;;;
-;Nil;;;;;;;
Disclaimer: http://oe.cd/disclaimer;;;;;;;;